Avg_Hosp,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation,Avg_State_Category
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2,1,3,7.0,7.0,0.0,0.0004,0.0003,1.0
20.0,2,1,4,108.0,152.0,0.0013,0.0052,0.006999999999999999,1.0
0.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
7.0,2,1,6,8.0,8.0,0.0004,0.0004,0.0004,1.0
454.0,2,1,7,537.0,585.0,0.0287,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
6943.0,2,2,3,9801.0,10139.0,0.43939999999999996,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2,2,6,22.0,19.0,0.0004,0.0011,0.0009,1.0
885.0,2,2,7,1495.0,1545.0,0.055999999999999994,0.0719,0.07139999999999999,2.0
594.0,2,3,1,999.0,825.0,0.037599999999999995,0.0481,0.0381,1.0
279.0,2,3,2,198.0,149.0,0.0177,0.0095,0.0069,1.0
2361.0,2,3,3,3004.0,2857.0,0.1494,0.1446,0.132,4.0
458.0,2,3,4,705.0,855.0,0.028999999999999998,0.0339,0.0395,1.0
2674.0,2,3,5,2630.0,3228.0,0.16920000000000002,0.1266,0.1491,3.0
28.0,2,3,6,103.0,89.0,0.0018,0.005,0.0040999999999999995,1.0
1092.0,2,3,7,1142.0,1174.0,0.0691,0.055,0.0542,2.0
15803.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
65.0,2,1,1,16.0,13.0,0.005,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2,1,3,7.0,7.0,0.0,0.0004,0.0003,1.0
43.0,2,1,4,108.0,152.0,0.0033,0.0052,0.006999999999999999,1.0
0.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
0.0,2,1,6,8.0,8.0,0.0,0.0004,0.0004,1.0
233.0,2,1,7,537.0,585.0,0.0179,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
5115.0,2,2,3,9801.0,10139.0,0.3936,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,6,22.0,19.0,0.0,0.0011,0.0009,1.0
412.0,2,2,7,1495.0,1545.0,0.0317,0.0719,0.07139999999999999,2.0
566.0,2,3,1,999.0,825.0,0.0435,0.0481,0.0381,1.0
0.0,2,3,2,198.0,149.0,0.0,0.0095,0.0069,1.0
3499.0,2,3,3,3004.0,2857.0,0.2693,0.1446,0.132,4.0
346.0,2,3,4,705.0,855.0,0.026600000000000002,0.0339,0.0395,1.0
1692.0,2,3,5,2630.0,3228.0,0.13019999999999998,0.1266,0.1491,3.0
44.0,2,3,6,103.0,89.0,0.0034000000000000002,0.005,0.0040999999999999995,1.0
979.0,2,3,7,1142.0,1174.0,0.0753,0.055,0.0542,2.0
12994.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
12.0,2,1,1,16.0,13.0,0.0005,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
5.0,2,1,3,7.0,7.0,0.0002,0.0004,0.0003,1.0
178.0,2,1,4,108.0,152.0,0.0077,0.0052,0.006999999999999999,1.0
6.0,2,1,5,2.0,2.0,0.0003,0.0001,0.0001,1.0
7.0,2,1,6,8.0,8.0,0.0003,0.0004,0.0004,1.0
627.0,2,1,7,537.0,585.0,0.027200000000000002,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
10334.0,2,2,3,9801.0,10139.0,0.4476,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
36.0,2,2,6,22.0,19.0,0.0015,0.0011,0.0009,1.0
1666.0,2,2,7,1495.0,1545.0,0.0721,0.0719,0.07139999999999999,2.0
969.0,2,3,1,999.0,825.0,0.04190000000000001,0.0481,0.0381,1.0
144.0,2,3,2,198.0,149.0,0.0063,0.0095,0.0069,1.0
4570.0,2,3,3,3004.0,2857.0,0.1979,0.1446,0.132,4.0
1005.0,2,3,4,705.0,855.0,0.0435,0.0339,0.0395,1.0
2165.0,2,3,5,2630.0,3228.0,0.09380000000000001,0.1266,0.1491,3.0
134.0,2,3,6,103.0,89.0,0.0058,0.005,0.0040999999999999995,1.0
1232.0,2,3,7,1142.0,1174.0,0.053399999999999996,0.055,0.0542,2.0
23090.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
12.0,2,1,1,16.0,13.0,0.0005,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
6.0,2,1,3,7.0,7.0,0.0003,0.0004,0.0003,1.0
173.0,2,1,4,108.0,152.0,0.0076,0.0052,0.006999999999999999,1.0
2.0,2,1,5,2.0,2.0,0.0001,0.0001,0.0001,1.0
17.0,2,1,6,8.0,8.0,0.0008,0.0004,0.0004,1.0
644.0,2,1,7,537.0,585.0,0.028300000000000002,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
9996.0,2,2,3,9801.0,10139.0,0.4396,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2,2,6,22.0,19.0,0.0008,0.0011,0.0009,1.0
